artist_mbid,country_code
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,US
5db9f569-cadd-4f8b-b460-d4031b0b3716,
28438dd9-6244-4627-aa42-f9749c4fde08,US
59ae7a1a-f454-435b-8a5a-e327e692bb5a,US
d793cf63-a10c-48fc-809c-9064d71328da,US
35e3200c-a82c-4357-910e-76b1a9cbaf05,US
8e68819d-71be-4e7d-b41d-f1df81b01d3f,US
302bd7b9-d012-4360-897a-93b00c855680,FR
5e1ef22b-310a-46ad-885b-4897b8c9c85a,FR
e842abf7-8a63-4602-8879-75958c2884a1,US
f181961b-20f7-459e-89de-920ef03c7ed0,US
d9ea1d27-8971-4fae-94ca-a557deb8e2b5,US
b3b9eb0c-d0b4-4570-b816-4e05e308b444,BR
ac5af671-1df0-4312-8b7b-e61992ecc883,JP
c5b9c6e1-3aa2-4ff5-a89a-d4e86b09fcdf,GB
f0a4c8af-2b25-45cf-9b41-19171cf4d80f,GB
3bdcd49d-212e-4f4f-877a-eac1e4a2bddc,US
efa2c11a-1a35-4b60-bc1b-66d37de88511,US
8d610e51-64b4-4654-b8df-064b0fb7a9d9,AT
4137c070-15b2-4d00-a9f0-3517d02a9ba8,FR
6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,FR
eab76c9f-ff91-4431-b6dd-3b976c598020,IL
3452655c-831e-4552-935a-729129df92da,US
e1d521ea-5b97-4981-987c-ba988b2a87d7,FR
a96ac800-bfcb-412a-8a63-0a98df600700,
5d02f264-e225-41ff-83f7-d9b1f0b1874a,US
a871fd87-50f7-4032-b06d-da56779edcce,AU
070d193a-845c-479f-980e-bef15710653e,US
47c8a452-4efb-45b4-a0d3-df506dbe42b2,GB
401c3991-b76b-499d-8082-9f2df958ef78,GB
382f1005-e9ab-4684-afd4-0bdae4ee37f2,US
ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,GB
4dbf5678-7a31-406a-abbe-232f8ac2cd63,CA
1d11e2a1-4531-4d61-a8c7-7b5c6a608fd2,US
086c1936-9eaa-4091-b140-ad33a51a3b71,US
3bd08e76-bf53-4b16-82ee-63f95ca5cdae,DE
f9ef7a22-4262-4596-a2a8-1d19345b8e50,US
b4d32cff-f19e-455f-86c4-f347d824ca61,GB
79239441-bfd5-4981-a70c-55c3f15c1287,US
becd8cc6-a453-4183-af88-dedaaec859a6,US
494e8d09-f85b-4543-892f-a5096aed1cd4,US
974fa09f-8761-4fbb-b156-390417d125ae,FR
f31ec2ac-9071-4306-acd1-d2c8321033b5,US
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,US
1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,US
03ad1736-b7c9-412a-b442-82536d63a5c4,US
72c536dc-7137-4477-a521-567eeb840fa8,US
8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,GB
847e8a0c-cc20-4213-9e16-975515c2a926,CA
b1a7ac99-2ea9-4d3e-b17f-1cad379e46ae,US
a74b1b7f-71a5-4011-9441-d0b5e4122711,GB
4967c0a1-b9f3-465e-8440-4598fd9fc33c,IE
f37c537b-3557-4031-bfd6-ab63ced32854,GB
197450cd-0124-4164-b723-3c22dd16494d,US
cf8b3b8c-118e-4136-8d1d-c37091173413,SE
319b1175-ced9-438f-986b-9239c3edd92d,FI
5a8cc407-7efb-4e94-9637-d5896395e754,GB
be50643c-0377-4968-b48c-47e06b2e2a3b,FR
c3d6fdd5-67c5-453e-87e3-d17a00a52879,FI
5f000e69-3cfd-4871-8f1b-faa7f0d4bcbc,IE
851827d6-ae31-4093-a166-1420cac610a4,US
d72d000b-b860-44f4-9ac1-5d82e3fff9a9,US
45be8e20-3c3c-4e78-98f0-b5bdecf2f703,US
0f4681f3-1d4d-4463-8a68-eaa60d6d6865,AU
8ca01f46-53ac-4af2-8516-55a909c0905e,IE
abf5f674-dbad-4219-b3ad-dbd6fb163c8e,SE
7b885d42-3c41-4f43-9944-a5855ec5155e,GB
ae0b2424-d4c5-4c54-82ac-fe3be5453270,EE
1c893468-37a9-4fb7-909f-929751a8ebed,US
cba8ee40-716d-43d4-9b2c-887f1532e25f,US
0182474b-8a1d-46d0-9d0f-e6df353335ea,US
fcfa9543-e113-4ef9-9ef6-455ba4cbe7af,US
88b0ef74-9da8-4998-8e3b-70687575588c,US
f93dbc64-6f08-4033-bcc7-8a0bb4689849,US
32673e42-5ba2-4528-b3fe-a000a0c606e3,CA
183d6ef6-e161-47ff-9085-063c8b897e97,US
d5be5333-4171-427e-8e12-732087c6b78e,US
31745282-b1ea-4d62-939f-226b14d68e7c,SE
5403bf6e-bc1d-4e62-b31f-926a2bf66a14,
1a48176d-1414-4a18-9792-50ba585d4d59,US
819eaeb2-8dd8-48a5-ad07-0bcd137985ef,CZ
f6372053-44f7-4353-9c76-979116a9822d,GB
a0b8cb9e-7532-45fe-a74c-30e7c4009a39,US
f104e236-9655-4022-b794-d1567357e3b0,US
0f9997bd-e079-429e-8ccd-9378c9b0c746,US
11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,US
5c01e170-1302-4e75-a10c-d9e440b0c68f,US
215394ba-3d0c-4b57-b284-ec5bb4a5ad25,IE
d0630a08-3b40-4cb4-9f48-7d525262c1f6,US
3cd3882c-00f8-4362-a0c2-ad89ed248533,DE
2251b277-2dfb-4cf1-83f3-27e29f902440,DE
b6b2bb8d-54a9-491f-9607-7b546023b433,US
83d91898-7763-47d7-b03b-b92132375c47,
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
67930b3e-e00b-469f-8c74-fd69f20522ec,GB
c4df30f5-5487-4806-9189-b69c9f27532c,US
83b9cbe7-9857-49e2-ab8e-b57b01038103,US
98913495-8867-43b3-aa8d-db88ee4d4cdc,DE
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,GB
166bc1cb-a2b7-412d-bcd5-5f439d2cf5f1,US
06fb1c8b-566e-4cb2-985b-b467c90781d4,US
bd13909f-1c29-4c27-a874-d4aaf27c5b1a,GB
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,IE
ac865b2e-bba8-4f5a-8756-dd40d5e39f46,US
f90e8b26-9e52-4669-a5c9-e28529c47894,US
4ef7a9e2-2cf5-483a-8616-ef7791a98026,GB
df9a1914-7fad-4900-bdd4-d7811712a2a8,AU
8aa5b65a-5b3c-4029-92bf-47a544356934,
80ccfede-c258-4575-a7ad-c982e9932e0f,US
0743b15a-3c32-48c8-ad58-cb325350befa,US
69689acf-d9cd-4d20-a972-47db4ed51b1a,US
6ee7a715-e0c0-46d0-a215-2e17001699fc,IT
bfcc6d75-a6a5-4bc6-8282-47aec8531818,US
67f66c07-6e61-4026-ade5-7e782fad3a5d,US
8538e728-ca0b-4321-b7e5-cff6565dd4c0,GB
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,GB
70ea63ea-70dc-4b63-951a-2c249d2b3b0a,PR
